Time (s),Vsep-dc (div 10) (V),Vsep-rf (div 10) (V),DC Current (1 V = 1 nA) (V),AC current (A) (V),AC Voltage (V) (V)
91.4676008224,6.75,9.53666666667,2.78008613e-05,0.0,0.0
92.5469629765,6.75,9.56,4.22352436e-05,0.0,0.0
93.6698899269,6.75,9.58333333333,4.72142676e-05,0.0,0.0
94.750510931,6.75,9.60666666667,3.09189619e-05,0.0,0.0
95.8702888489,6.75,9.63,4.88800123e-05,0.0,0.0
96.9496028423,6.75,9.65333333333,3.87923894e-05,0.0,0.0
98.0759358406,6.75,9.67666666667,2.80606843e-05,0.0,0.0
99.155523777,6.75,9.7,2.48149049e-05,0.0,0.0
100.276144981,6.75,9.72333333333,2.75584434e-05,0.0,0.0
101.358308792,6.75,9.74666666667,3.28381062e-05,0.0,0.0
102.47654295,6.75,9.77,9.26942768e-06,0.0,0.0
103.557885885,6.75,9.79333333333,2.37775399e-05,0.0,0.0
104.681380987,6.75,9.81666666667,-9.1435753e-06,0.0,0.0
105.76057291,6.75,9.84,1.47715339e-05,0.0,0.0
106.898827791,6.75,9.86333333333,1.29221184e-06,0.0,0.0
107.979056835,6.75,9.88666666667,1.47754189e-05,0.0,0.0
109.097704887,6.75,9.91,2.04038882e-05,0.0,0.0
110.184201956,6.75,9.93333333333,4.66310066e-05,0.0,0.0
111.304610968,6.75,9.95666666667,4.54270741e-05,0.0,0.0
112.382818937,6.75,9.98,5.0922308e-05,0.0,0.0
113.506814957,6.75,10.0033333333,7.29967236e-05,0.0,0.0
114.587008953,6.75,10.0266666667,5.94009289e-05,0.0,0.0
115.690373898,6.75,10.05,6.77265025e-05,0.0,0.0
116.770792007,6.75,10.0733333333,9.9767572e-05,0.0,0.0
117.89614892,6.75,10.0966666667,5.80244234e-05,0.0,0.0
118.975130796,6.75,10.12,6.99175117e-05,0.0,0.0
120.096421957,6.75,10.1433333333,5.96940531e-05,0.0,0.0
121.177789927,6.75,10.1666666667,5.46507717e-05,0.0,0.0
122.314058781,6.75,10.19,7.30747564e-05,0.0,0.0
123.395873785,6.75,10.2133333333,6.35826299e-05,0.0,0.0
124.514356852,6.75,10.2366666667,2.06205196e-05,0.0,0.0
125.593939781,6.75,10.26,0.000130183264,0.0,0.0
126.726161957,6.75,10.2833333333,-1.56748896e-05,0.0,0.0
127.807084799,6.75,10.3066666667,-6.38971061e-05,0.0,0.0
128.92621088,6.75,10.33,-2.85066933e-05,0.0,0.0
130.005051851,6.75,10.3533333333,-0.000141995618,0.0,0.0
